词,背景弹幕评论词数,R,背景词数乘R,wiki词数,wiki权重,词库估计词数,R口径,R分子_全tag总量,R分母_样本总量
电视,2,1.1036720331575072,2.2073440663150143,336,1.0,338.207344066315,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
前往,1,1.1036720331575072,1.1036720331575072,327,1.0,328.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
高中,0,1.1036720331575072,0.0,320,1.0,320.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
警察,16,1.1036720331575072,17.658752530520115,297,1.0,314.65875253052013,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
提到,4,1.1036720331575072,4.414688132630029,310,1.0,314.41468813263003,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
青山,23,1.1036720331575072,25.384456762622666,282,1.0,307.3844567626227,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
新一,118,1.1036720331575072,130.23329991258584,176,1.0,306.23329991258584,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
老师,39,1.1036720331575072,43.04320929314278,262,1.0,305.0432092931428,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
情况,13,1.1036720331575072,14.347736431047593,289,1.0,303.34773643104757,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
访谈,0,1.1036720331575072,0.0,302,1.0,302.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
琴酒,48,1.1036720331575072,52.97625759156034,246,1.0,298.97625759156034,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
毛利,24,1.1036720331575072,26.48812879578017,268,1.0,294.4881287957802,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
