词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
人质,689.9540717451576,53,73.2925255186039,0,35.0,35,9.413703059939259
很帅,689.2364219664005,44,60.84662495884096,3,4.311016099472521,1,11.327438825614847
很多,686.5312761158408,54,74.67540335857755,18,43.86609659683513,24,9.19353957579906
感情,683.3415489461588,50,69.14389199868292,5,21.518360165787534,16,9.882891014569665
松佐,682.9956707463659,38,52.549357918999014,0,0.0,0,12.99722199839537
死去,680.3113136200217,46,63.61238063878828,0,9.0,9,10.694636905401323
性格,680.0117952951274,61,84.35554823839315,2,138.20734406631502,136,8.061257492789672
成为,680.0031683999156,59,81.58979255844584,9,104.93304829841756,95,8.334414723665386
名柯,672.5830621869516,47,64.99525847876194,11,13.140392364732579,1,10.348186589745266
原来,669.9091884080304,52,71.90964767863024,26,38.69547286209519,10,9.315984850904934
这些,669.8764854518848,49,67.76101415870926,14,21.4514084642051,6,9.885868648348533
人气,667.8837829740755,48,66.3781363187356,8,17.82937626526006,9,10.061803780796442
谢谢,666.5928828978798,45,62.22950279881462,8,8.829376265260057,0,10.711846518410194
结果,664.9070022301476,52,71.90964767863024,15,41.55508049736261,25,9.246422749860606
白鸟,663.224332556979,58,80.20691471847218,1,112.10367203315751,111,8.268917148663668
不了,654.923315926597,47,64.99525847876194,15,17.555080497362606,1,10.07647836558111
斗子,654.0707716150523,41,56.69799143891999,3,3.3110160994725213,0,11.536048368127366
里面,649.605100865785,49,67.76101415870926,22,29.280784729465157,5,9.586708654393595
一次,644.2331926974824,53,73.2925255186039,21,66.17711269630765,43,8.78988939375484
问题,642.6781196725143,52,71.90964767863024,19,56.969768629992636,36,8.937300354254166
告白,629.1454239638186,50,69.14389199868292,3,48.311016099472525,45,9.099074492014463
死亡,628.7107652373635,55,76.05828119855121,4,112.41468813263003,108,8.266171090510252
时间,628.6290428583766,69,95.41857095818243,13,606.3477364310476,592,6.5881204942156995
多少,625.5092074095543,40,55.31511359894633,4,4.414688132630029,0,11.308106712836421
除了,623.2471038968372,45,62.22950279881462,7,18.72570423210255,11,10.015299429786046
看过,616.3461354086069,47,64.99525847876194,25,32.59180082893768,5,9.482939984152939
安室,615.9642164345877,69,95.41857095818243,15,692.5550804973626,676,6.455391337861646
看看,615.7795223413024,43,59.46374711886731,10,13.036720331575072,2,10.355545221702336
加油,613.1058042234649,46,63.61238063878828,17,27.762424563677623,9,9.638152165769089
五人,612.3381613195696,41,56.69799143891999,0,8.0,8,10.79999742105915
零零,611.1013896151695,34,47.017846559104385,0,0.0,0,12.99722199839537
滤镜,611.1013896151695,34,47.017846559104385,0,0.0,0,12.99722199839537
不管,608.8999053097593,40,55.31511359894633,3,6.311016099472521,3,11.007839732997637
正常,608.0623094925162,45,62.22950279881462,21,24.17711269630765,1,9.771286642902423
老师,603.5013613248593,60,82.9726703984195,39,305.0432092931428,262,7.2734956995713995
四年,602.7575915518114,44,60.84662495884096,0,21.0,21,9.906179545037054
成熟,600.428675073264,41,56.69799143891999,1,10.103672033157507,9,10.589946130985927
最帅,593.1278193323704,33,45.634968719130725,0,0.0,0,12.99722199839537
三秒,593.1278193323704,33,45.634968719130725,0,0.0,0,12.99722199839537
为啥,592.5270070203377,40,55.31511359894633,8,8.829376265260057,0,10.711846518410194
一辈子,591.5044857667391,37,51.166480079025355,2,3.2073440663150143,1,11.560390412887013
墨镜,591.4889048841457,41,56.69799143891999,0,12.0,12,10.432272640933832
时期,591.3511175610367,45,62.22950279881462,9,31.933048298417564,22,9.50274533725346
意思,591.328979179285,41,56.69799143891999,10,12.036720331575072,1,10.429451981845178
终于,591.0704718952114,44,60.84662495884096,16,25.658752530520115,8,9.714104476543023
看着,590.2138467957053,44,60.84662495884096,10,26.036720331575072,15,9.70002604408953
非常,581.8174983448201,46,63.61238063878828,10,46.03672033157507,35,9.146293418077976
不好,580.0385508240624,39,53.93223575897267,4,8.41468813263003,4,10.754950961356387
忘不了,576.1349503749063,34,47.017846559104385,1,1.1036720331575072,0,12.253537593446959
新娘,574.224512556778,46,63.61238063878828,0,52.0,52,9.026930084843247
接受,572.8840984424587,45,62.22950279881462,3,43.311016099472525,40,9.205988681840655
诸伏景光,571.8682290833029,46,63.61238063878828,0,54.0,54,8.9898888131629
不错,568.9443050956205,41,56.69799143891999,13,18.347736431047593,4,10.034646566069926
男神,562.9582866685988,36,49.7836022390517,4,4.414688132630029,0,11.308106712836421
表白,561.1286221639647,41,56.69799143891999,2,21.207344066315013,19,9.896798950425982
个人,560.2546536459336,47,64.99525847876194,6,78.62203219894505,72,8.619931157424418
朋友,557.4769731221984,49,67.76101415870926,9,116.93304829841756,107,8.227104922256338
卷毛,556.3047600175986,34,47.017846559104385,2,2.2073440663150143,0,11.831778797403846
声音,555.555584014304,47,64.99525847876194,25,84.59180082893768,57,8.547632504543992
发现,554.9378250875897,56,77.44115903852486,27,339.7991448952527,310,7.16592871255353
竟然,553.707468322814,40,55.31511359894633,8,18.82937626526006,10,10.010057510455175
认识,552.7901841407768,41,56.69799143891999,7,24.72570423210255,17,9.749731341652383
报仇,550.2929841151362,37,51.166480079025355,4,8.41468813263003,4,10.754950961356387
魅力,543.544662596463,34,47.017846559104385,2,3.2073440663150143,1,11.560390412887013
每次,542.3526917030036,40,55.31511359894633,13,23.347736431047593,9,9.804783112898363
惊艳,542.2446591763824,32,44.252090879157066,1,1.1036720331575072,0,12.253537593446959
姐姐,539.9571053582927,46,63.61238063878828,8,89.82937626526005,81,8.488239237961304
人文,539.2071084839731,30,41.48633519920975,0,0.0,0,12.99722199839537
当然,539.0613104493848,37,51.166480079025355,7,10.72570423210255,3,10.535438623427252
动画,525.0236006259572,60,82.9726703984195,39,787.0432092931428,744,6.327669075912472
印象,524.0538618604509,36,49.7836022390517,8,10.829376265260057,2,10.526636046625164
一种,523.4366758074495,38,52.549357918999014,8,19.82937626526006,11,9.960857687629387
防护服,521.2335382011739,29,40.10345735923609,0,0.0,0,12.99722199839537
配音,520.8250008493263,36,49.7836022390517,6,11.622032198945043,5,10.461778124218904
最好,520.0173546738959,35,48.400724399078044,5,8.518360165787536,3,10.743999415921992
只要,515.1821351370179,35,48.400724399078044,5,9.518360165787536,4,10.64409968101286
不想,515.1095769242714,37,51.166480079025355,7,17.72570423210255,10,10.067324860508236
简直,510.95437481801963,34,47.017846559104385,4,7.414688132630029,3,10.867243232327068
有点像,508.3543679778585,30,41.48633519920975,1,1.1036720331575072,0,12.253537593446959
一句,508.2654094746114,36,49.7836022390517,12,15.244064397890085,2,10.20949442416831
颜值,507.21904589839875,31,42.86921303918341,2,2.2073440663150143,0,11.831778797403846
重要,503.91040318096066,39,53.93223575897267,6,37.62203219894504,31,9.343399102402785
命中注定,503.25996791837485,28,38.72057951926243,0,0.0,0,12.99722199839537
难受,503.0250982931296,32,44.252090879157066,1,4.103672033157507,3,11.367261711243946
眼睛,500.983535418799,38,52.549357918999014,9,30.933048298417564,21,9.53358052806332
柯南里,500.4073659276434,32,44.252090879157066,4,4.414688132630029,0,11.308106712836421
恋爱,500.26434877287414,46,63.61238063878828,5,168.51836016578753,163,7.864260757878836
年轻,499.90094216354663,37,51.166480079025355,2,24.207344066315013,22,9.770086615132838
