词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
印象,731.1187486771285,25,68.27772867874504,6,8.622032198945043,2,10.708012156015478
甚至,722.736172822283,27,73.73994697304464,8,22.82937626526006,14,9.801148529256151
死亡,721.0823548700484,32,87.39549270879364,3,111.31101609947252,108,8.250795693465939
简直,719.8779000562545,24,65.54661953159523,3,6.311016099472521,3,10.982685380277378
每次,716.9799168420072,26,71.00883782589483,7,16.72570423210255,9,10.097051843038978
炸死,713.1308567440603,24,65.54661953159523,1,7.103672033157507,6,10.87975034929623
新娘,712.9601292351737,29,79.20216526734424,0,52.0,52,9.001775732122988
柯南里,708.7444111440799,23,62.81551038444543,4,4.414688132630029,0,11.282952360116163
不好,703.3018959576731,24,65.54661953159523,4,8.41468813263003,4,10.729796608636128
五个,701.3380357956424,21,57.35329209014583,1,1.1036720331575072,0,12.2283832407267
白马,696.41726735777,29,79.20216526734424,3,64.31101609947252,61,8.792906923782159
魅力,693.0877518059805,22,60.08440123729563,2,3.2073440663150143,1,11.535236060166755
很帅,693.0877518059805,22,60.08440123729563,2,3.2073440663150143,1,11.535236060166755
没想到,692.1106209457645,25,68.27772867874504,10,16.036720331575072,5,10.136696611602718
报仇,690.7801029706769,23,62.81551038444543,2,6.207344066315015,4,10.996967130298602
重要,689.2647775441853,27,73.73994697304464,5,36.518360165787534,31,9.347237228094881
发现,685.4056688015717,35,95.58882015024304,18,329.8660965968351,310,7.170353894150758
快斗,678.1970089765674,31,84.66438356164385,8,141.82937626526007,133,8.010416900783014
一些,676.2614635597482,26,71.00883782589483,14,30.4514084642051,15,9.523623879295988
不到,674.9108345845847,24,65.54661953159523,5,13.518360165787536,8,10.296653578896766
不敢,673.3097233768102,23,62.81551038444543,5,8.518360165787536,3,10.718845063201735
颜值,667.9409864720404,20,54.62218294299603,1,1.1036720331575072,0,12.2283832407267
竟然,666.451490591493,24,65.54661953159523,5,15.518360165787536,10,10.167595146081416
问题,666.1258873860177,27,73.73994697304464,13,50.34773643104759,36,9.033446791459147
看过,663.600431536231,25,68.27772867874504,18,24.866096596835128,5,9.71913454617905
赤井秀,660.5621011944727,30,81.93327441449404,6,134.62203219894505,128,8.0621958040239
拆弹,657.2771610077614,24,65.54661953159523,0,18.0,18,10.02762866650867
太太,654.4769173602923,22,60.08440123729563,0,7.0,7,10.892626103995275
主线,646.3364882453085,24,65.54661953159523,14,21.4514084642051,6,9.860714295628274
心中,645.3587078500096,22,60.08440123729563,3,8.311016099472521,5,10.740869419689284
失去,644.7394943756981,23,62.81551038444543,0,14.0,14,10.2640174445729
当然,644.0353875778185,22,60.08440123729563,5,8.518360165787536,3,10.718845063201735
一天,637.4436618541907,22,60.08440123729563,6,9.622032198945043,3,10.609137292334642
动画,637.4433461031958,37,101.05103844454264,35,782.6285211605127,744,6.30813256266563
刀子,637.1663679886175,19,51.891073795846225,0,1.0,1,12.278920465115165
有些,634.6199315110314,23,62.81551038444543,6,16.622032198945043,10,10.10291769703073
那句,634.5439371484384,19,51.891073795846225,1,1.1036720331575072,0,12.2283832407267
封面,630.0447912460994,30,81.93327441449404,8,195.82937626526007,187,7.6897304025560125
第几,628.7501587470051,20,54.62218294299603,3,3.3110160994725213,0,11.510894015407107
不行,625.6157130651472,22,60.08440123729563,9,11.933048298417564,2,10.412281726738996
爱情,621.5895098761746,22,60.08440123729563,8,12.829376265260057,4,10.345272601141295
人生,619.5325472715929,22,60.08440123729563,3,13.311016099472521,10,10.311038048375128
认识,619.508623056434,23,62.81551038444543,4,21.41468813263003,17,9.86235118149798
进来,616.2994879513739,20,54.62218294299603,4,4.414688132630029,0,11.282952360116163
只要,615.389158962964,21,57.35329209014583,4,8.41468813263003,4,10.729796608636128
选择,612.1328937252948,23,62.81551038444543,2,24.207344066315013,22,9.744932262412581
其他,607.7630975136732,29,79.20216526734424,10,199.03672033157508,188,7.67356669432192
来看,607.3601896408269,21,57.35329209014583,8,9.829376265260057,1,10.589805179556217
离谱,606.1666605944084,20,54.62218294299603,5,5.518360165787536,0,11.097444809684864
狂喜,602.2782542773379,17,46.42885550154662,0,0.0,0,12.97206764567511
怀念,598.5757856506195,19,51.891073795846225,2,3.2073440663150143,1,11.535236060166755
以后,593.5952786595338,22,60.08440123729563,10,21.036720331575072,10,9.879357477745438
设定,590.8943185637214,29,79.20216526734424,5,246.51836016578753,241,7.46058288392972
看见,590.2175814774039,22,60.08440123729563,3,22.31101609947252,19,9.82314160286653
