词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
死去,212.2423355618937,20,20.0,0,9.0,9,10.612116778094684
本来,211.0104148590974,19,19.0,1,5.103672033157507,4,11.105811308373548
样子,208.4238598142046,20,20.0,1,11.103672033157507,10,10.42119299071023
日本,207.9651620566649,28,28.0,6,240.62203219894505,234,7.42732721630946
人设,207.76642973898936,17,17.0,0,1.0,1,12.221554690528786
灵活,207.51133517943913,18,18.0,0,3.0,3,11.52840750996884
有点像,206.6352299374197,16,16.0,0,0.0,0,12.914701871088731
别去,206.6352299374197,16,16.0,0,0.0,0,12.914701871088731
全尸,206.6352299374197,16,16.0,0,0.0,0,12.914701871088731
惊艳,206.6352299374197,16,16.0,0,0.0,0,12.914701871088731
抽烟,200.87352290115055,17,17.0,0,2.0,2,11.81608958242062
西瓜,199.0100068116707,18,18.0,4,5.414688132630029,1,11.056111489537262
想到,197.65054706905602,21,21.0,2,32.20734406631502,30,9.41193081281219
表白,197.3050963148142,20,20.0,1,20.10367203315751,19,9.865254815740709
诸伏景光,195.9621110888377,22,22.0,0,54.0,54,8.907368685856259
长大,195.23724628799596,19,19.0,0,13.0,13,10.275644541473472
需要,194.7051565391006,21,21.0,2,37.20734406631502,35,9.271674120909553
江莱,193.72052806633096,15,15.0,0,0.0,0,12.914701871088731
人渣,193.72052806633096,15,15.0,0,0.0,0,12.914701871088731
痞帅,193.72052806633096,15,15.0,0,0.0,0,12.914701871088731
原研,193.72052806633096,15,15.0,0,0.0,0,12.914701871088731
不了,191.16361787123952,17,17.0,3,4.311016099472521,1,11.244918698308208
死亡,188.90542795067853,23,23.0,1,109.10367203315751,108,8.213279476116458
这才,188.51246880458817,17,17.0,2,5.207344066315015,3,11.088968753211068
黑羽,187.76682692945138,20,20.0,0,33.0,33,9.388341346472568
世界,186.50879796146444,20,20.0,2,35.20734406631502,33,9.325439898073222
不过,186.2947227313204,19,19.0,4,21.41468813263003,17,9.8049854069116
我们,185.21757950192293,20,20.0,6,37.62203219894504,31,9.260878975096146
万圣节,184.45452015950144,16,16.0,0,3.0,3,11.52840750996884
希望,183.83820467867798,21,21.0,1,63.10367203315751,62,8.75420022279419
上去,183.645924569286,16,16.0,2,3.2073440663150143,1,11.477870285580375
单相思,183.32332035793178,15,15.0,0,1.0,1,12.221554690528786
谢谢,183.25645185313164,16,16.0,3,3.3110160994725213,0,11.453528240820727
这句,182.5652619921048,15,15.0,1,1.1036720331575072,0,12.17101746614032
多少,182.5652619921048,15,15.0,1,1.1036720331575072,0,12.17101746614032
干嘛,182.5652619921048,15,15.0,1,1.1036720331575072,0,12.17101746614032
表情,182.00240832012835,17,17.0,1,8.103672033157507,7,10.70602401883108
新一,181.86314704505648,24,24.0,28,206.9028169284102,176,7.577631126877353
疏散,180.88422333847407,16,16.0,0,4.0,4,11.30526395865463
曲对币,180.80582619524222,14,14.0,0,0.0,0,12.914701871088731
新版,180.80582619524222,14,14.0,0,0.0,0,12.914701871088731
估计,180.80582619524222,14,14.0,0,0.0,0,12.914701871088731
纯元,180.80582619524222,14,14.0,0,0.0,0,12.914701871088731
气质,177.69298093397677,16,16.0,1,5.103672033157507,4,11.105811308373548
认识,177.39859939740336,18,18.0,3,20.31101609947252,17,9.855477744300186
温柔,173.07058775406804,18,18.0,1,26.10367203315751,25,9.61503265300378
最好,172.9261126495326,15,15.0,0,3.0,3,11.52840750996884
难受,172.9261126495326,15,15.0,0,3.0,3,11.52840750996884
更帅,171.101765667403,14,14.0,0,1.0,1,12.221554690528786
防爆,171.101765667403,14,14.0,0,1.0,1,12.221554690528786
变成,171.07709965916953,17,17.0,3,16.31101609947252,13,10.063358803480561
不好,169.57895937981945,15,15.0,0,4.0,4,11.30526395865463
而已,168.9694788216396,15,15.0,2,4.207344066315015,2,11.26463192144264
一段,167.8911243241535,13,13.0,0,0.0,0,12.914701871088731
控制室,167.8911243241535,13,13.0,0,0.0,0,12.914701871088731
谜语,167.8911243241535,13,13.0,0,0.0,0,12.914701871088731
零零,167.8911243241535,13,13.0,0,0.0,0,12.914701871088731
他俩,167.8911243241535,13,13.0,0,0.0,0,12.914701871088731
性格,167.88913985047273,21,21.0,0,136.0,136,7.994720945260606
原来,167.84733594578137,17,17.0,9,19.933048298417564,10,9.873372702693022
理解,166.8441360279101,15,15.0,0,5.0,5,11.122942401860675
替身,166.8441360279101,15,15.0,0,5.0,5,11.122942401860675
当然,166.334531298166,15,15.0,2,5.207344066315015,3,11.088968753211068
不想,165.3428612408294,16,16.0,2,12.207344066315015,10,10.333928827551837
必须,165.3428612408294,16,16.0,2,12.207344066315015,10,10.333928827551837
不用,164.09402033568333,15,15.0,2,6.207344066315015,4,10.939601355712222
竟然,164.05875638061997,16,16.0,3,13.311016099472521,10,10.253672273788748
恋爱,163.9706938620057,21,21.0,1,164.1036720331575,163,7.808128279143128
告白,163.54908854279344,18,18.0,0,45.0,45,9.086060474599636
暂停,161.39770513956375,14,14.0,0,3.0,3,11.52840750996884
里面,160.25255467654355,15,15.0,3,8.311016099472521,5,10.683503645102904
班长,159.52420627075665,16,16.0,0,18.0,18,9.97026289192229
看着,159.26441849049746,16,16.0,3,18.31101609947252,15,9.954026155656091
这张,158.88021097687422,13,13.0,0,1.0,1,12.221554690528786
高佐,158.88021097687422,13,13.0,0,1.0,1,12.221554690528786
好多,158.22322705982415,13,13.0,1,1.1036720331575072,0,12.17101746614032
不同,157.9228709338449,16,16.0,0,20.0,20,9.870179433365307
真纯,157.3194847743228,19,19.0,0,102.0,102,8.279972882859095
不如,155.72119362604946,14,14.0,0,5.0,5,11.122942401860675
遗忘,155.72119362604946,14,14.0,0,5.0,5,11.122942401860675
奇怪,155.7174028108426,16,16.0,1,23.10367203315751,22,9.732337675677663
少年,155.57908439024558,21,21.0,2,245.20734406631502,243,7.408527828106933
只要,155.48135831722968,14,14.0,1,5.103672033157507,4,11.105811308373548
横沟,155.2462877044079,15,15.0,0,12.0,12,10.349752513627193
反思,154.97642245306477,12,12.0,0,0.0,0,12.914701871088731
别用,154.97642245306477,12,12.0,0,0.0,0,12.914701871088731
忘不了,154.97642245306477,12,12.0,0,0.0,0,12.914701871088731
变黑,154.97642245306477,12,12.0,0,0.0,0,12.914701871088731
帅死,154.97642245306477,12,12.0,0,0.0,0,12.914701871088731
当年,153.90184008135043,16,16.0,0,26.0,26,9.618865005084402
一次,153.21009208336412,17,17.0,5,48.518360165787534,43,9.012358357844947
报仇,153.1544189799711,14,14.0,2,6.207344066315015,4,10.939601355712222
手机,152.31732557354258,20,20.0,1,199.1036720331575,198,7.615866278677128
新娘,152.05496927812234,17,17.0,0,52.0,52,8.944409957536609
毕业,150.2134615435611,16,16.0,0,33.0,33,9.388341346472568
五人,150.04468211253516,14,14.0,0,8.0,8,10.717477293752511
发现,150.0128561818322,21,21.0,9,319.9330482984176,310,7.14346934199201
明显,149.88433626363513,14,14.0,1,8.103672033157507,7,10.70602401883108
到底,149.8692976295949,13,13.0,0,3.0,3,11.52840750996884
