标签名,标签ID,接口报告总稿件数,BV号,标题,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
松田阵平,55247,793,BV1CePCzXENc,【爆处组】松田警官收到了奇怪的手机/tell me,2438,14,1,19,554381190,回_ovo,4
松田阵平,55247,793,BV1XDAdziEMF,【4K/中字】柯南M29《高速公路的堕天使》IMAX&杜比影院&4D特殊版本预告,3316,14,0,43,45053576,QG柯南,4
松田阵平,55247,793,BV1pbAdzQEca,[中字]柯南M29特别制式预告,3216,10,1,43,702964214,少卿大理寺,4
松田阵平,55247,793,BV1HhAdznE5W,【柯南M29多版本上映预告】IMAX・MX4D・4DX・DolbyCinema,493,2,0,41,11972834,Mai_way,4
松田阵平,55247,793,BV15gPuzGEvK,【松田阵平】收物合集 第一弹,37,1,0,178,47958495,沉迷磕CP的瑛子,4
松田阵平,55247,793,BV1wuA1zRE8A,名侦探柯南×CarSensor 二手车平台联动CM,2092,4,1,61,702964214,少卿大理寺,4
松田阵平,55247,793,BV1zCfYBuEar,M29又要原创小兰被绑架了，接下来的剧情发展基本上都能猜到了…,2230,17,0,39,668727289,阴晴不定的官配党,4
松田阵平,55247,793,BV1dLfUBkEJP,【名侦探柯南手书】爆处组的晚聚焦点,1096,8,0,184,835876,苍白妄想,4
松田阵平,55247,793,BV1QCfBBCE6s,剧场版《名侦探柯南：高速公路上的堕天使》官方预告片,41,0,0,91,3461575971179332,柯学馆,4
松田阵平,55247,793,BV1CsfMB5Ekv,[中字]新闻—柯南M29主题曲歌手MISIA公布！！,10129,40,1,99,702964214,少卿大理寺,4
松田阵平,55247,793,BV1U5fKBVE6F,【4K/中字】柯南M29《高速公路的堕天使》90s终极预告公开！MISIA演唱「与你的最后一舞」！,22603,105,6,94,45053576,QG柯南,4
松田阵平,55247,793,BV1DKfKBUEnM,名侦探柯南m29高速公路的堕天使90秒预告,655,1,0,91,372246526,凌空之宇,4
松田阵平,55247,793,BV1b9fKB2EFc,【中字】柯南M29「高速公路的堕天使」90s预告公开！！,4736,50,3,91,702964214,少卿大理寺,4
松田阵平,55247,793,BV1bXfKB7EFR,【柯南M29】高速公路的堕天使 主题曲MISIA 90s+30s预告,1187,0,2,121,11972834,Mai_way,4
松田阵平,55247,793,BV1BhfPB9EnA,【台配国语】踩油门向前冲,577,1,0,233,1488617659,瑪利歐路易吉,4
松田阵平,55247,793,BV16tfPBdEnG,柯南剧场版M29《高速公路的堕天使》90秒预告,31998,496,41,91,417121751,柯研所DCI,4
松田阵平,55247,793,BV1NZfPBTEh1,柯南M29剧场版《高速公路的堕天使》90秒预告 主题曲《和你的最后一舞》MISIA,1644,6,0,182,16219537,絶対女王,4
松田阵平,55247,793,BV1XhZUBBExk,我终于找到了警五代餐,1900,10,1,175,3546793298103122,你们怎么什么都会哇,4
松田阵平,55247,793,BV1RNZPBmEXn,【谷子开箱】最最最幸福的开箱，大家除夕快乐！,56,0,0,246,2466240,淳淳_hgmt,5
松田阵平,55247,793,BV1Ntc3zoEbk,【松田阵平】拼团清货 第一弹,45,0,0,629,47958495,沉迷磕CP的瑛子,5
松田阵平,55247,793,BV1y6cbzrEc5,不愿在zbj浪费情绪了｜名柯年前开箱大合集｜四分钟长视频来啦˙Ⱉ˙早就想吐槽zbj了！,1421,10,3,241,570407729,Dairenesy-rua,5
松田阵平,55247,793,BV1eCFdzhE54,《松田阵平》,133,2,0,10,3690990869153975,上衫由衣,5
松田阵平,55247,793,BV1KgcAzTEZ8,【松田阵平＆IDOLISH7&恋与制作人&无限滑板】模玩熊清货,54,1,0,1282,47958495,沉迷磕CP的瑛子,5
松田阵平,55247,793,BV1GYcczCE8C,柯南主线讲解第27期——通过M29“高速公路的堕天使”的最新海报，得出以下情报……,213,0,0,443,351904314,Vladmir熙,5
松田阵平,55247,793,BV1jWcczSE6F,hagi，该回家了……,132,1,0,20,3546733078382815,yz迟,5
松田阵平,55247,793,BV1XacczVEmw,永远的爆处双星(*꒦ິ⌓꒦ີ),81,1,0,19,3546733078382815,yz迟,5
松田阵平,55247,793,BV1VbcczjEDx,她是我为你们创造的本不存在的未来,16,0,0,12,3546733078382815,yz迟,5
松田阵平,55247,793,BV1bjFxzqEMP,《名侦探柯南：高速公路的堕天使》正式海报公开！「风之计划」宣传联动活动全面启动！柯南M29真实取景地特别PV！,1029,12,1,67,3461575971179332,柯学馆,5
松田阵平,55247,793,BV19pFszCEtH,[中字]2月日历「透教和叶做点心」语音&柯南M29宣发CM1＋柯南提示「研二&松田」,6241,15,2,29,702964214,少卿大理寺,5
松田阵平,55247,793,BV1kZFkzCEiz,【AI翻唱 松田阵平】ロストアンブレラ（丢失的雨伞）,109,2,1,205,1468460624,靜かな春,5
松田阵平,55247,793,BV1iGFCzPETB,［警五］“细水长流也可以”,278,0,0,15,3494362421922022,仝顾,5
松田阵平,55247,793,BV1K46bBfEQw,开箱｜安室透/松田阵平吧唧/新兰扭蛋,421,2,0,34,8348517,Yoong_碳酸水,5
松田阵平,55247,793,BV1J56xBgEQk,松田你要萌死我吗,58,2,0,11,3546869271628528,松田宝宝乖乖的,5
松田阵平,55247,793,BV1g36pB1EMP,【推し活 / 降松降】嫌い嫌い but 好き. . .,45,2,0,9,1245258806,皆川カレン,5
松田阵平,55247,793,BV1KF62B3E7f,盘点名柯人物的爆帅瞬间（7）,684,13,2,69,493837517,新兰永恒68,5
松田阵平,55247,793,BV1zo6qBgEna,《[萩松cb手书]警犬》,883,6,0,62,32829844,ペニシリン_,5
松田阵平,55247,793,BV1Uq6cB7Eg8,【名柯/警校组】多幸运有像你这样的朋友,11833,0,0,232,668177182,芜菁明初,5
松田阵平,55247,793,BV1Vm6wB8Ers,【警校五人组】盘点警校五人组的闯祸瞬间,2909,1,0,98,57412983,一只白珞,5
松田阵平,55247,793,BV1CF6gBeEmt,这段回忆杀 真的要命🥺🥺🥺,682,1,0,110,3546681377294871,冯冯放假了,6
松田阵平,55247,793,BV1aCzxB4E7v,警校五人组,410,2,0,23,3461562918505001,秋乔昕,6
松田阵平,55247,793,BV1M6zQBsEtF,什么！老师要求写一篇作文，题目自拟题材不限，她竟写了名侦探柯南同人文？还获得了一个甲！,36,1,4,13,3546631219710853,白马探超重度依赖,6
松田阵平,55247,793,BV1QRzrBPETR,名柯：学的四人艺 归来却是零/.,95,1,0,120,3546561271302990,流年似金t,6
松田阵平,55247,793,BV1y9zcBkEpZ,当遇到景光被搭讪的场面,1872,9,0,50,1551366641,怀雨上,6
松田阵平,55247,793,BV1h8zLBxETH,【松田阵平 情歌不止】,89,2,0,186,1176781988,睡不醒的狐莉,6
松田阵平,55247,793,BV1eJzLBAEeo,切煤｜安室透/诸伏景光/努努/毛巾/吧唧,521,8,1,56,8348517,Yoong_碳酸水,6
松田阵平,55247,793,BV1RCrhBUExi,開箱vlog｜land方松田☪︎⋆永夜序曲刺綉吧唧｜名偵探柯南,259,4,0,35,570407729,Dairenesy-rua,6
松田阵平,55247,793,BV1LAr9BLEw1,你穿越柯学世界成为了警校白月光松田阵平的妹妹，并毕业即失业，连原主都喝毒药自尽了！  还好她携米其林厨艺穿越，一心搞钱想开小吃店，却没料想—三个大佬能听见她心声,1407,0,0,62322,3546864729197214,奥特同人迷,6
松田阵平,55247,793,BV1H2ksBjEfr,开箱｜安室透/松田阵平吧唧/拍立得,607,7,0,65,8348517,Yoong_碳酸水,6
松田阵平,55247,793,BV1wCrUBCEDH,省流：小阵平,83,4,0,9,3546916348496376,忧郁的碳酸饮料,6
松田阵平,55247,793,BV1sar2BGEg4,【名侦探柯南‖爆破处双子】让我仔细看看你的模样，倒数着最后的谢幕时光,206,2,0,32,349145338,菀柳之惕,6
松田阵平,55247,793,BV1XMkNB6EvU,警校五人组，挑战自己摸鱼一下，话说回来，2026年，也就是今年的4月15日，是万圣节的新娘，上映的四周年，纪念一下，希望Zero可以带着他们的意识走下去！,142,6,0,340,3690984158267527,Sinotyrannus,6
松田阵平,55247,793,BV1wykwBJE8f,是什么颜色捏～,2046,13,1,26,1728713,老年人铃铛,6
松田阵平,55247,793,BV1nCrZBeExH,松萩互动小剧场,149,0,0,34,3690994899880773,零-景光,6
松田阵平,55247,793,BV1chrhBZE8Q,開箱vlog｜蜜語基德⭒新蘭世紀之吻｜超可愛的小貓咪ฅ՞••՞ฅ,1136,6,0,65,570407729,Dairenesy-rua,6
松田阵平,55247,793,BV1BJrnBsEP8,【警校五人组｜花曇り】,198,2,1,115,3494366754638265,deGaulleCharles,6
松田阵平,55247,793,BV1KHrJBNE3k,青山刚昌终于把白月光变平庸男！松田阵平在千速与佐藤变三角恋,5260,13,0,108,3632317000059265,f皮_damn,6
松田阵平,55247,793,BV1F1rqBkEdP,unboxing｜自印贴纸书试吃,658,5,0,60,22964484,是酷酷啊_,6
松田阵平,55247,793,BV1eSrYBpEdJ,松田和千速以这种方式同框…太扎心了…,962,12,0,41,3546736081504278,下班画画,6
松田阵平,55247,793,BV1QdrYBEEL3,【萩松/驾鹤西去】没关系，此生不怪你呀,1094,16,1,33,443183566,aaa安静的小透明,7
松田阵平,55247,793,BV12craBTEKi,開箱vlog｜怪盜基德★∻∹⋰⋰｜超好價收的一些美麗吧唧,721,2,0,31,570407729,Dairenesy-rua,7
松田阵平,55247,793,BV1wbrhBFEfN,【警校五人组，名柯意难平】5-4确实等于0,769,2,0,32,1106874338,起什么名字也太烦了,7
松田阵平,55247,793,BV1Ln6ZBxE4G,【名侦探柯南】动画30周年人物介绍，第十八位登场，你猜对了吗,184,0,0,39,395450119,晓伴君兮,7
松田阵平,55247,793,BV1WQ6UBVESQ,【警校五人组|起风了】“但我更想跟你们一起啊”|5-4=零=5,288,1,0,323,3690979347401258,水沝淼㵘XLN,7
松田阵平,55247,793,BV1bq6UBXEpr,明侦三个！已买断！禁止个人使用！,1364,5,0,10,330135600,冥河小狗,7
松田阵平,55247,793,BV1J962BPEHJ,错过松田阵平，会是你的遗憾吗？,1826,3,0,10,380555617,_柏建,7
松田阵平,55247,793,BV1cJrVBGEJ4,［稿子］松田阵平,354,2,0,41,1173245308,Ye_Mmm,7
松田阵平,55247,793,BV1NzrTBNE6C,"""你只不过是太像他了""",2268,4,0,21,1900411022,阿弥Cut,7
松田阵平,55247,793,BV131rKB3EuX,现在的名侦探柯南真是看得我眼前一黑又一黑,26472,160,67,145,65229631,Victoria_AW,7
松田阵平,55247,793,BV189iXB9E8y,谁还记得第一次见到松田哥，心是怎样波动,1569,9,0,46,157792157,菜豆四一,7
松田阵平,55247,793,BV1oFiRBBEVJ,[中字]新闻—柯南M29 & 神奈川县警宣发启动,2032,3,0,52,702964214,少卿大理寺,7
松田阵平,55247,793,BV1QHimBgEKL,【名侦探柯南】盘上的连锁 警五（除降谷）战斗语音,352,5,0,254,835876,苍白妄想,7
松田阵平,55247,793,BV1hWi7B4EdT,大爱海藻头｜名侦探柯南松田阵平｜盲盒手办开箱｜疯狂开箱18,408,0,1,121,19109012,Chooco石尧,7
松田阵平,55247,793,BV1WPqNB1EBq,“抱歉，我没办法实现承诺了”,294,1,0,41,1106874338,起什么名字也太烦了,7
松田阵平,55247,793,BV164qwBAE7w,开箱｜安室透/松田阵平吧唧/拍立得,644,6,0,85,8348517,Yoong_碳酸水,7
松田阵平,55247,793,BV1oeiEBBEQA,【名柯警校五人组reaction】路人第一次看名柯警校五人组,773,3,0,3879,3546939194870430,这颗桃子脆又甜,7
松田阵平,55247,793,BV1hCiqBLEUw,[警四中心向I手书]少女A（合集）,1080,16,2,242,3546950630639792,永远的警校组,7
松田阵平,55247,793,BV1xTivBwEwS,《名柯警局五人组reaction专场》是我没看到的剧情啊！好优秀又超正的五个人！好好哭！太可惜了！,2061,9,2,3980,373545620,慕檀_JCT,7
松田阵平,55247,793,BV1MzvfBeE8R,【名侦探柯南盘上的连锁】2026年元旦福袋获得SSR松田阵平和SSR服部平次,259,0,0,31,1882570,小斐Suzushi,7
松田阵平,55247,793,BV1o6iFBQERt,开箱｜松田阵平吧唧/安室透色纸/拍立得,435,1,0,65,8348517,Yoong_碳酸水,8
松田阵平,55247,793,BV1B6i3BHExV,【直播专场·怪盗基德➕警校五人组reaction】怪盗基德个人向、快青cp向、警校五人组，真的好刀,1552,1,2,4487,226105309,手机没内存了谢谢,8
松田阵平,55247,793,BV1dxiGBSEWo,【警五】元旦,512,14,1,24,89809236,下个世界副本见,8
