视频标题,BVID,用户名,评论内容
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,正式退休的cr-cava,我是从七岁开始看柯南，现在24岁的十七年哀迷。 不给你个赞那小哀都不同意啊！[灰原哀_啊咧咧]
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,Stevenhe00,心梦这个书读得好啊，好就好在还能学以致用，活学活用[支持]
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,delnr丶,爱情就是要平等啊 爱情就是要互相扶持互相面对人生的风风雨雨啊 爱情本就是不可控的 柯南在灰原哀面前频频失控失态还不够说明什么吗 大学心理课上也有说过爱情具有唯一性和排他性 这点在灰原哀身上都有体现过 还不明白女主是谁吗 还不明白柯南爱谁吗
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,小橙君同学WOW,[名侦探柯南扑克牌系列_击掌]
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,摇滚地雷狗皇帝,严肃品鉴！超级爱看分析向视频
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,浮尘风如烟,本质上73就是刻画不出幸福
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,bili_80448146609,小兰对新一的感情还停留在变小之前，而柯南变小之后，有了黑衣人的压力，而小哀又和他一起，能看出不是很正常吗？[吃瓜]
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,盘古的杰作,柯南（新一）确实是理性外壳下有着非理性的本质，他非理性的本质就是追求真相的纯粹，为此可以奋不顾身，不惜一切代价，仿佛少年般天真无畏的冒险精神  而灰原同样为自己构筑了理性的外壳，从而冷静地审时度势，得以在酒厂手上存活下来，但这种理性的外壳过于厚重，反而成为了一种自我压抑，所以她欣赏着柯南的性格，欣赏着他能够自发打破理性外壳的勇气
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,坡土顿圆脸,虽然可以看到作者是刻意塑造了不同，但是其实这说明不了什么。真正决定了剧情走向的是框架。
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,黑火药-BP,那天在群里也说过
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,这里没有昵称呵,太勤奋了
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,Foniaaaa,爱你就像爱自己 爱你就像爱生命。我觉得这是对柯哀最完美的注解。
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,请叫村长,[吃瓜]
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,RileyLea,毛利兰对工藤新一是lover层心理上的依赖，这源于她原生家庭不靠谱，她需要聪明的同龄的成长拐杖；灰原哀对柯南是同伴的认可是partner，她想跟他并肩同行，灵魂上的共鸣。也许灰原更像性转版柯男，一边傲娇吐槽但又一边帮所有人兜底
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,青山刚圣,[名侦探柯南30周年_击掌]
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,请叫村长,[星星眼]请看可能有描述不精准的地方。蓝图第三视角
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,南雲゙,有没有像我这种二头都磕的 谁来糖磕谁
毛利兰与灰原哀的告白：作者对两段爱情台词的设计与文学解析,BV1BsREBnE4Q,江户川柯南AX4869XX,他从小喜欢毛利兰两个人这么多年的感情做不了假，但灰原哀也确实是他的灵魂伴侣，他舍弃不了毛利兰，十多年的喜欢不是一朝一夕就能改变的，他对毛利兰也的确确是真爱，对灰原哀不太像是男女之情的喜欢，更像是灵魂知己，两种喜欢都不一样，但还是得看我们新兰党你们柯哀党怎么去理解，
