标签名,标签ID,BV号,标题,发布时间戳,发布时间_ISO8601_北京时间,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
松田阵平,55247,BV1NzrTBNE6C,"""你只不过是太像他了""",1767972977,2026-01-09 23:36:17,2208,4,0,21,1900411022,阿弥Cut,6
松田阵平,55247,BV131rKB3EuX,现在的名侦探柯南真是看得我眼前一黑又一黑,1767950185,2026-01-09 17:16:25,25890,157,66,145,65229631,Victoria_AW,6
松田阵平,55247,BV189iXB9E8y,谁还记得第一次见到松田哥，心是怎样波动,1767879335,2026-01-08 21:35:35,1529,9,0,46,157792157,菜豆四一,6
松田阵平,55247,BV1oFiRBBEVJ,[中字]新闻—柯南M29 & 神奈川县警宣发启动,1767868258,2026-01-08 18:30:58,1985,3,0,52,702964214,少卿大理寺,6
松田阵平,55247,BV1QHimBgEKL,【名侦探柯南】盘上的连锁 警五（除降谷）战斗语音,1767807892,2026-01-08 01:44:52,343,5,0,254,835876,苍白妄想,6
松田阵平,55247,BV1hWi7B4EdT,大爱海藻头｜名侦探柯南松田阵平｜盲盒手办开箱｜疯狂开箱18,1767744000,2026-01-07 08:00:00,405,0,1,121,19109012,Chooco石尧,6
松田阵平,55247,BV1WPqNB1EBq,“抱歉，我没办法实现承诺了”,1767704933,2026-01-06 21:08:53,294,1,0,41,1106874338,起什么名字也太烦了,6
松田阵平,55247,BV164qwBAE7w,开箱｜安室透/松田阵平吧唧/拍立得,1767694589,2026-01-06 18:16:29,627,6,0,85,8348517,Yoong_碳酸水,6
松田阵平,55247,BV1oeiEBBEQA,【名柯警校五人组reaction】路人第一次看名柯警校五人组,1767529716,2026-01-04 20:28:36,753,3,0,3879,3546939194870430,这颗桃子脆又甜,6
松田阵平,55247,BV1hCiqBLEUw,[警四中心向I手书]少女A（合集）,1767440464,2026-01-03 19:41:04,1067,16,2,242,3546950630639792,永远的警校组,6
松田阵平,55247,BV1xTivBwEwS,《名柯警局五人组reaction专场》是我没看到的剧情啊！好优秀又超正的五个人！好好哭！太可惜了！,1767439080,2026-01-03 19:18:00,2037,9,2,3980,373545620,慕檀_JCT,6
松田阵平,55247,BV1MzvfBeE8R,【名侦探柯南盘上的连锁】2026年元旦福袋获得SSR松田阵平和SSR服部平次,1767358195,2026-01-02 20:49:55,257,0,0,31,1882570,小斐Suzushi,7
松田阵平,55247,BV1o6iFBQERt,开箱｜松田阵平吧唧/安室透色纸/拍立得,1767343760,2026-01-02 16:49:20,422,1,0,65,8348517,Yoong_碳酸水,7
松田阵平,55247,BV1B6i3BHExV,【直播专场·怪盗基德➕警校五人组reaction】怪盗基德个人向、快青cp向、警校五人组，真的好刀,1767200144,2026-01-01 00:55:44,1509,1,2,4487,226105309,手机没内存了谢谢,7
松田阵平,55247,BV1dxiGBSEWo,【警五】元旦,1767197237,2026-01-01 00:07:17,511,14,1,24,89809236,下个世界副本见,7
松田阵平,55247,BV1vRvaBBEhH,新年倒计时，名柯团来给你说新年快乐！！,1767090694,2025-12-30 18:31:34,2741,8,5,20,3546630997412341,美女需要解释吗,7
松田阵平,55247,BV1YbvsBVEAw,松田阵平：米花町哪来的这么多案件？！,1767001134,2025-12-29 17:38:54,771,20,1,16,3546916348496376,忧郁的碳酸饮料,7
松田阵平,55247,BV1YCvHBKEPm,【Meme】萩萩松松的二字词语接龙！,1766996133,2025-12-29 16:15:33,622,5,0,22,240777979,偷只小鱼干,7
松田阵平,55247,BV1a4v1BNEba,〖名柯/警五〗那个夏天,1766962159,2025-12-29 06:49:19,215,1,0,102,3494368369445275,命运是一种选择,7
松田阵平,55247,BV13RvzBQERf,名柯漫画1156《能找到戒指的魔法》松田阵平对千速告白！案件告破！,1766890373,2025-12-28 10:52:53,681,1,1,230,3537118800382343,阿尔法A黑兵,7
松田阵平,55247,BV1wkBrBJEVk,没想到在跨年时收到了松田阵平的祝福！,1766833785,2025-12-27 19:09:45,1196,3,0,13,380555617,_柏建,7
松田阵平,55247,BV1oqBYBSESL,柯南最新主线情报！松田阵平将在新剧场版复活？漫画1154话-1156话！剧场版《高速公路的堕天使》观影前必看！,1766800800,2025-12-27 10:00:00,290885,739,928,752,14068111,黝黑蜗壳天眼老师,7
松田阵平,55247,BV1o2BqBFERb,【生死对决】佐藤美和子VS萩原千速,1766769793,2025-12-27 01:23:13,1006,3,35,209,1480630101,白金小艾,7
松田阵平,55247,BV19SBvBJEBE,【架空】名探偵コナンメインテーマ(ハイウェイの堕天使ヴァージョン),1766756593,2025-12-26 21:43:13,2986,10,0,175,13320065,超联先辈,7
松田阵平,55247,BV1hYBeBGEcE,我终于将松田阵平的谷子做出来了！,1766752200,2025-12-26 20:30:00,1980,19,0,86,380555617,_柏建,7
松田阵平,55247,BV1Y4BeBjEMu,亡夫回忆录？论萩原千速如何毁掉松田阵平人设！锅在青山！,1766744634,2025-12-26 18:23:54,103520,795,568,545,6309346,爱吃拉面的小Lam同学,7
松田阵平,55247,BV1gDBhBPEwv,青山刚昌终于把白月光变平庸男！松田阵平新增单恋千速求婚被拒，转头追佐藤，深情人设崩塌！,1766735106,2025-12-26 15:45:06,29580,46,218,108,23605370,抹茶挖一挖,7
松田阵平,55247,BV1xEB9BWETb,【名柯/警校五人組】III手书·圣诞节快乐！,1766679844,2025-12-26 00:24:04,935,18,2,37,1881195481,宋璟stifle,7
松田阵平,55247,BV1fhBQBqE3V,柯南1156中字:松田激情告白千速，提出约会请求,1766670081,2025-12-25 21:41:21,207,1,0,15,1344754054,新兰咖喱酱,7
松田阵平,55247,BV1hsBXBhEen,松田阵平show,1766660961,2025-12-25 19:09:21,3643,8,2,19,365359200,五螞蟻potato,7
松田阵平,55247,BV1bcBmBrEWK,[萩松向]在圣诞节，梦见你,1766632020,2025-12-25 11:07:00,531,17,0,108,5675990,吾是上帝视角,7
松田阵平,55247,BV1QGB2B5Ehk,【警五】圣诞节,1766592042,2025-12-25 00:00:42,938,23,0,20,89809236,下个世界副本见,8
松田阵平,55247,BV1XGB2B5Exv,【爆处组】圣诞颂歌,1766592035,2025-12-25 00:00:35,280,5,0,15,382274778,雾黎黎黎黎黎--,8
松田阵平,55247,BV1YfBjBhEBB,青山刚昌今年的圣诞哀，戴墨镜喊话松田,1766579939,2025-12-24 20:38:59,618,3,0,21,1344754054,新兰咖喱酱,8
松田阵平,55247,BV1zkBjBGEvX,你只不过太像他了…,1766577601,2025-12-24 20:00:01,8381,4,0,23,471149924,香蕉船象鼻鱼,8
松田阵平,55247,BV124B5B1E9P,[萩松向]圣诞快乐🎄,1766571527,2025-12-24 18:18:47,514,11,0,75,5675990,吾是上帝视角,8
松田阵平,55247,BV1ciB5BzE8c,柯南漫画1156新系列完结篇——《能找到戒指的魔法》案件水落石出，荻原千速回忆起曾被戴在手上的戒指，想起烟花大会与松田阵平表白之往事！,1766570971,2025-12-24 18:09:31,509,6,0,58,1144452137,麦卡伦-威士忌,8
松田阵平,55247,BV1TpB5BEEdj,🎄陪家产过圣诞节|萩松宝宝圣诞快乐～⭐,1766568021,2025-12-24 17:20:21,58,0,0,23,2466240,淳淳_hgmt,8
松田阵平,55247,BV1bwBLBDEWD,消失的戒指背后的狗血真相是什么？松田阵平的土味情话有多土，柯南最新漫画1156话《能够找到戒指的魔法》剧情分享...,1766566641,2025-12-24 16:57:21,1251,7,3,144,355294965,距离厘米远,8
