视频标题,BVID,用户名,评论内容
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,楚龙骧,也发表一个“延伸”感想：其实我越来越喜欢毛利、中森、横沟、服部父子、远山、中村这些角色。毛利会劝良心未泯的凶手去自首、帮助他人从来不遗余力，中森、横沟可以豁出命去救人，服部父子和远山简直是把“正义”刻在脸上，就连“操哥”都是敢拿着枪去阻止抢劫犯的。我们一定会敬佩柯南、基德、安世这些“天降救世主”，但是更值得尊敬的，不就是像毛利、中森这样的“平凡义士”吗？
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,Revoluti0,现在还更新柯南的UP直接就是一个三连
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,芝士奶盖四季春谢谢,还是以前的好看，现在的又臭又长
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,TiaBrrr,小惠反击还是出格的，她是个优秀的法学生，得知杀妻计划就应该用她最熟悉的法律武器，把丈夫绳之以法，而不是把自己的人生也搭上去，两败俱伤
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,民智未井,今天我生日，给你生日礼物了🎁[吃瓜]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,面白i,认真的大叔真的好帅好有魅力٩( 'ω' )و
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,Noeasy03,以前几乎天天都有柯南看的[笑哭]现在太少了
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,真正的爹地,@派派酱saki
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,垮炖帝王蟹,交换杀妻，妹妹抢姐姐男朋友，重案六组第一部的编剧是不是很喜欢这集[doge]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,柒柒不姓林_,前排
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,L丶Lawliet゛,所以我至今为止最喜欢的剧场版还是水平线上的阴谋。 无他，大叔认真起来真的帅得雅痞。 独眼的残像也是因为说是大叔高光才去看的，然后嘛…就被骗进去杀了[笑哭]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,名字xndks,这脖子……
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,盗宝摄梦,耶！又更新啦！
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,令和新时代的名侦探,集数：150-151（拆分版160-161） 中文名：汽车爆炸事件的真相 日文名：自動車爆発事件の真相 编剧：古内一成 首播时间： 1999/06/28（前篇） 1999/07/05（后篇） 家庭收视率： 17.2%（前篇） 19.5%（后篇）
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,轨始大学校长,大叔啊，才是装糊涂的高手[doge]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,天书奇谈2018,毛利大叔是概念神，唯一确定是全剧手枪枪法第一
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,带耳机的李冠一,@配音演员张遥函
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,带耳机的李冠一,@收手机的CC
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,Forza-Charles-1,大叔属于平时摸鱼但当案子涉及到身边人尤其亲人的时候或者千钧一发的关键时刻就火力全开从不掉链子的人（
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,杨超越的亲老公,前排点赞97兄[星星眼][星星眼]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,木叶隐村精英忍者,对这个案子没印象
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,木叶隐村精英忍者,更
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,恵みの雨_Symphony,9797，这个没有墙壁贴图和导演贴图的画面有出处嘛[星星眼][星星眼][星星眼]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,向日葵ミクmiku-,我建议97在开学的时候发
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,锂空气电池,做新的呀，那个白马探的
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,双子星星X,其他的白嫖党都在争评论区第一而我已经投了个币
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,赤安yyds啊,第一[打call]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,97年的王长歌,https://b23.tv/cm-yaoyue-0-3ja7Z iPhone16系列至高直降千元起！叠加大额券，好价进行时！ 戳我专属链接光速催更~
你们也太宠松田了吧,BV1yL411d7ED,一顆苦檸檬,5-4=0
你们也太宠松田了吧,BV1yL411d7ED,把梦莺还我,@AI识片酱 BGM是什么？
你们也太宠松田了吧,BV1yL411d7ED,把梦莺还我,Bgm是什么啊？
你们也太宠松田了吧,BV1yL411d7ED,Sherring_,看万圣节新娘最刀的不是看到他们几只在回忆里生龙活虎，而是研二墓地的和尚说的那句“不知道怎么，这几年扫墓的人越来越少了，去年只有一个人来 …”[生病][生病][生病]
你们也太宠松田了吧,BV1yL411d7ED,小鱼罐头酱,哎呦我，，阵平酱这么萌
你们也太宠松田了吧,BV1yL411d7ED,曾嘉锐,6
你们也太宠松田了吧,BV1yL411d7ED,曾嘉锐,5
你们也太宠松田了吧,BV1yL411d7ED,小僧不借色,多好的五人啊，可惜只剩一人，好在另外四人的意志算是被传承了
你们也太宠松田了吧,BV1yL411d7ED,来点小酥肉,哼哼～
你们也太宠松田了吧,BV1yL411d7ED,橙橙橙橙子Ro_,好可爱的松甜甜啊[喜欢]
你们也太宠松田了吧,BV1yL411d7ED,榴莲味的臭豆腐酸奶,芜湖[脱单doge][脱单doge][脱单doge]
你们也太宠松田了吧,BV1yL411d7ED,清葉子,松田猫猫hhhhh
你们也太宠松田了吧,BV1yL411d7ED,戒鵝跋,啊啊啊啊啊啊啊啊啊啊啊啊又出新的警察篇了哈哈哈哈哈哈多出一点啊啊啊啊啊啊啊啊啊啊啊啊
你们也太宠松田了吧,BV1yL411d7ED,Yの二次余,冲啊，小阵平[doge]
你们也太宠松田了吧,BV1yL411d7ED,可爱的林绾,阿波主，看好你
