site,novel_id,title,createDate,bookmarkCount,userName,url,tags_joined,matched_characters_joined,primary_character_proxy
Pixiv,11723689,ココロの花※花吐病,2019-09-25T22:48:26+09:00,1063,みたらし,https://www.pixiv.net/novel/show.php?id=11723689,コナン夢 | 花吐き病 | 続きを正座待機!!! | 涙腺崩壊 | 松田陣平 | コナン夢小説1000users入り,松田阵平,松田阵平
Pixiv,11723407,おにぎりやさん  1,2019-09-25T22:00:24+09:00,228,柚木,https://www.pixiv.net/novel/show.php?id=11723407,萩松 | 萩原研二 | 松田陣平 | 警察学校組 | 降谷零 | 少し赤安 | まじコナ腐100users入り,萩原研二 | 松田阵平 | 降谷零,萩原研二
Pixiv,11722823,モブ中のモブの話２２,2019-09-25T19:56:56+09:00,768,多々良,https://www.pixiv.net/novel/show.php?id=11722823,コナン夢 | 名探偵コナン | 女主人公 | 松田陣平 | 転生,松田阵平,松田阵平
Pixiv,11722166,中学初の友達がなんだか訳ありだったみたいなんだけど？,2019-09-25T16:35:50+09:00,624,ちみっこ,https://www.pixiv.net/novel/show.php?id=11722166,コナン夢 | オリ主 | 松田陣平,松田阵平,松田阵平
Pixiv,11721113,探索者系インテリヤクザが神話的事象に巻き込まれて本領発揮する話3,2019-09-25T05:15:56+09:00,509,朱雀(廿_廿)銀河,https://www.pixiv.net/novel/show.php?id=11721113,コナン夢 | 男主人公 | クロスオーバー | クトゥルフ神話TRPG | こなちゃんねる | 萩原研二 | 松田陣平 | 待ってました!! | オリ主,萩原研二 | 松田阵平,萩原研二
Pixiv,11720497,いつか来る別れの為に『今度こそ』本気になる,2019-09-25T00:30:11+09:00,235,あるま,https://www.pixiv.net/novel/show.php?id=11720497,コナン夢 | オリ主 | 松田陣平,松田阵平,松田阵平
Pixiv,11720093,奥様の秘密兵器のご紹介♡,2019-09-24T23:34:36+09:00,254,苺,https://www.pixiv.net/novel/show.php?id=11720093,コナン夢 | 降谷零 | 諸伏景光 | 松田陣平 | 萩原研二 | 風見裕也 | 警察学校組,降谷零 | 诸伏景光 | 松田阵平 | 萩原研二,降谷零
Pixiv,11719702,全員救済したと思ったら夢オチだったのでとりあえず双子で自殺しました《２》,2019-09-24T22:37:35+09:00,70,ちみっこ,https://www.pixiv.net/novel/show.php?id=11719702,コナン夢 | オリ主 | 萩原研二 | 松田陣平,萩原研二 | 松田阵平,萩原研二
Pixiv,11719340,グラサン刑事と浅蜊の王様【1】,2019-09-24T21:36:43+09:00,398,ｽｰﾔﾝ＠更新休止中,https://www.pixiv.net/novel/show.php?id=11719340,家庭教師ヒットマンREBORN! | 名探偵コナン | クロスオーバー | 沢田綱吉 | 松田陣平,松田阵平,松田阵平
Pixiv,11719221,あんただけには言われたくない,2019-09-24T21:16:18+09:00,116,ぽるて,https://www.pixiv.net/novel/show.php?id=11719221,コナン夢 | オリ主 | 萩原研二 | 松田陣平,萩原研二 | 松田阵平,萩原研二
Pixiv,11718467,中学の時点で萩原研二と会うなんて聞いてないんですけどォ？！？,2019-09-24T17:54:15+09:00,777,ちみっこ,https://www.pixiv.net/novel/show.php?id=11718467,コナン夢 | オリ主 | 松田陣平,松田阵平,松田阵平
Pixiv,11716440,吸血鬼で主な彼と、元人間で従者な降谷零のお話。,2019-09-24T00:39:04+09:00,151,真弥＠マイピク→プロフ必読,https://www.pixiv.net/novel/show.php?id=11716440,コナン夢 | 男主人公 | 腐向け | 降谷零 | 赤井秀一 | 松田陣平 | 諸伏景光 | 萩原研二 | コナン夢小説100users入り,降谷零 | 赤井秀一 | 松田阵平 | 诸伏景光 | 萩原研二,降谷零
Pixiv,11716156,ぬいぐるみの付喪神が元上司をうっかり泣かせちゃう話,2019-09-24T00:02:03+09:00,275,苺,https://www.pixiv.net/novel/show.php?id=11716156,コナン夢 | 降谷零 | 松田陣平 | 萩原研二 | 諸伏景光 | 風見裕也,降谷零 | 松田阵平 | 萩原研二 | 诸伏景光,降谷零
Pixiv,11713253,これが素です。猫は被ってないはず？,2019-09-23T16:31:13+09:00,917,滴,https://www.pixiv.net/novel/show.php?id=11713253,コナン夢 | 捏造 | 少年探偵団 | 男主 | 江戸川コナン | 松田陣平 | 萩原研二,江户川柯南 | 松田阵平 | 萩原研二,江户川柯南
Pixiv,11711751,産んだら前世を思い出した　1,2019-09-23T09:44:17+09:00,8669,レアチーズケーキ,https://www.pixiv.net/novel/show.php?id=11711751,コナン夢 | 夢主 | 松田陣平 | 萩原研二 | 続きを正座待機 | コナン夢小説5000users入り,松田阵平 | 萩原研二,松田阵平
Pixiv,11710587,なんてことない話,2019-09-23T00:54:32+09:00,293,たいぷく,https://www.pixiv.net/novel/show.php?id=11710587,コナン夢 | 夢主 | 松田陣平 | コナン夢小説100users入り,松田阵平,松田阵平
Pixiv,11710460,狸,2019-09-23T00:31:55+09:00,277,MooM＠執筆中,https://www.pixiv.net/novel/show.php?id=11710460,コナン夢 | 友情 | 救済 | 男主人公 | 人外主人公 | 松田陣平 | 萩原研二 | 死ネタ | 松佐 | コナン夢小説100users入り,松田阵平 | 萩原研二,松田阵平
Pixiv,11710449,現在使われておりません,2019-09-23T00:29:33+09:00,281,神有月＊ツイッターにいてます,https://www.pixiv.net/novel/show.php?id=11710449,コナン夢 | 女主人公 | 萩原研二 | 松田陣平 | コナン夢小説100users入り,萩原研二 | 松田阵平,萩原研二
Pixiv,11709580,とりあえず、奥様はいっぱい説明することがあって疲れましたの巻,2019-09-22T22:45:08+09:00,366,苺,https://www.pixiv.net/novel/show.php?id=11709580,コナン夢 | 降谷零 | 諸伏景光 | 松田陣平 | 萩原研二 | 続きありがとうございます!! | 続きを正座待機,降谷零 | 诸伏景光 | 松田阵平 | 萩原研二,降谷零
Pixiv,11709331,とある受っ子たちのグループ通話2,2019-09-22T22:11:50+09:00,42,りょう,https://www.pixiv.net/novel/show.php?id=11709331,,,
Pixiv,11708484,女子には割と誰にでも優しい萩原×唯一優しくされない幼馴染み夢主+α【本文サンプル・部数アンケート】,2019-09-22T19:47:29+09:00,205,紡詩@Twitter,https://www.pixiv.net/novel/show.php?id=11708484,萩原研二 | 松田陣平 | 秘密の裏稼業15 | コナン夢 | DC夢 | コナン夢小説100users入り,萩原研二 | 松田阵平,萩原研二
Pixiv,11708171,俺が一目惚れしてからこれまでの話をしようか,2019-09-22T18:38:01+09:00,777,ちみっこ,https://www.pixiv.net/novel/show.php?id=11708171,コナン夢 | オリ主 | 松田陣平,松田阵平,松田阵平
Pixiv,11707969,誓いの行く先　17,2019-09-22T17:55:19+09:00,124,桜,https://www.pixiv.net/novel/show.php?id=11707969,クロスオーバー | 成り代わり | 猿飛佐助 | 松田陣平 | 萩原研二 | 諸伏景光 | 厳しめ予定 | 腐向け予定 | 原作改変,松田阵平 | 萩原研二 | 诸伏景光,松田阵平
Pixiv,11705989,2Pカラーのクレイジーな物件探しとお引越し,2019-09-22T06:58:37+09:00,538,浮草,https://www.pixiv.net/novel/show.php?id=11705989,コナン夢 | 松田陣平 | 転生 | オリ主 | コナン夢小説300users入り,松田阵平,松田阵平
Pixiv,11705206,わんこから不穏な空気を感じたんだが？(困惑),2019-09-22T00:48:31+09:00,197,メルクリオ,https://www.pixiv.net/novel/show.php?id=11705206,コナン夢 | 名探偵コナン | Dom/Subユニバース | クロスオーバー? | 松田陣平 | 萩原研二 | 女主人公,松田阵平 | 萩原研二,松田阵平
Pixiv,11705065,コナンの世界に転生しましたが死にたいです,2019-09-22T00:24:39+09:00,3188,雪の降る街,https://www.pixiv.net/novel/show.php?id=11705065,コナン | 松田陣平 | 萩原研二 | 前世 | 救済 | 転生 | 女主人公 | コナン夢小説1000users入り,松田阵平 | 萩原研二,松田阵平
Pixiv,11704822,とある受っ子たちのグループ通話1,2019-09-21T23:57:27+09:00,48,りょう,https://www.pixiv.net/novel/show.php?id=11704822,,,
Pixiv,11704722,あめあめ、ふれふれ,2019-09-21T23:38:00+09:00,233,三入　通頒中,https://www.pixiv.net/novel/show.php?id=11704722,警察学校組 | 降谷零 | 松田陣平 | 萩原研二 | 諸伏景光 | 名探偵コナン,降谷零 | 松田阵平 | 萩原研二 | 诸伏景光,降谷零
Pixiv,11702226,互いを想い合っている二人の恋愛事情が気になりすぎる,2019-09-21T14:00:04+09:00,1106,NW,https://www.pixiv.net/novel/show.php?id=11702226,コナン夢 | オリ主 | 女主人公 | コナン夢小説100users入り,,
Pixiv,11699886,イケメンおまわりさんとワケあり女子高生5,2019-09-20T23:16:00+09:00,750,りんご,https://www.pixiv.net/novel/show.php?id=11699886,コナン夢 | オリ主 | 松田陣平 | 続きを全裸待機! | 続きを土下座待機‼︎,松田阵平,松田阵平
Pixiv,11699656,未来の爆処を囲うには④,2019-09-20T22:45:26+09:00,165,ちえぞう(chiezou),https://www.pixiv.net/novel/show.php?id=11699656,オリ主 | コナン夢 | ショタ | 松田陣平 | 男主 | 腐向け,松田阵平,松田阵平
Pixiv,11699200,とある公安組のグループ通話,2019-09-20T21:32:15+09:00,47,りょう,https://www.pixiv.net/novel/show.php?id=11699200,公安,,
Pixiv,11698585,ひとりぼっちの寂しさは,2019-09-20T19:20:05+09:00,135,せいづき りん@あいざき,https://www.pixiv.net/novel/show.php?id=11698585,オリ主 | コナン夢 | ネームレス | 降谷零 | 萩原研二 | 松田陣平,降谷零 | 萩原研二 | 松田阵平,降谷零
Pixiv,11697481,胡散臭いのは声のせい １２,2019-09-20T11:52:09+09:00,5144,ユウキ,https://www.pixiv.net/novel/show.php?id=11697481,コナン夢 | コナン夢小説 | オリ主 | TS男主人公 | 萩原研二 | 松田陣平 | 安室透 | 待ってました! | TS,萩原研二 | 松田阵平 | 降谷零,萩原研二
Pixiv,11696617,自殺志願者か何か？？(困惑),2019-09-20T01:24:12+09:00,159,メルクリオ,https://www.pixiv.net/novel/show.php?id=11696617,名探偵コナン | コナン夢 | 女主人公 | Dom/Subユニバース | 萩原研二 | 松田陣平 | クロスオーバー?,萩原研二 | 松田阵平,萩原研二
Pixiv,11694229,少し大きくなったまつだじんぺぇに避けられ始めた,2019-09-19T17:07:19+09:00,867,ちみっこ,https://www.pixiv.net/novel/show.php?id=11694229,コナン夢 | オリ主 | 松田陣平,松田阵平,松田阵平
Pixiv,11694018,猫になりたいって言ったらどうする13,2019-09-19T15:26:05+09:00,336,まなぴー,https://www.pixiv.net/novel/show.php?id=11694018,コナン夢 | オリ主 | 松田陣平,松田阵平,松田阵平
Pixiv,11693599,【ネタ】あなたと雨宿り,2019-09-19T11:29:35+09:00,82,greentea4062,https://www.pixiv.net/novel/show.php?id=11693599,名探偵コナン | コナン夢 | 宮野志保 | 灰原哀 | 松田陣平,松田阵平,松田阵平
Pixiv,11693392,その腕に愛を閉じ込めて,2019-09-19T08:28:46+09:00,22,イリス,https://www.pixiv.net/novel/show.php?id=11693392,名探偵コナン | 松田陣平 | 萩原研二 | 腐向け | 死ネタ,松田阵平 | 萩原研二,松田阵平
Pixiv,11693316,嵐の前の死ぬほど平和な小話集,2019-09-19T07:38:02+09:00,976,りんご,https://www.pixiv.net/novel/show.php?id=11693316,コナン夢 | 男主 | 松田陣平 | 萩原研二 | 諸伏景光 | 降谷零 | 怪盗キッド | ヒュッとする5ページ目 | 温度差で風邪引いた,松田阵平 | 萩原研二 | 诸伏景光 | 降谷零,松田阵平
Pixiv,11692764,彼氏 VS 抱き枕,2019-09-19T01:30:44+09:00,493,葵 @遅筆,https://www.pixiv.net/novel/show.php?id=11692764,コナン夢 | オリ主 | 女主人公 | 松田陣平,松田阵平,松田阵平
Pixiv,11692680,ご飯をお裾分けしたら何故かイケメン同期と同居することになりました,2019-09-19T01:14:32+09:00,11630,たまこ,https://www.pixiv.net/novel/show.php?id=11692680,コナン夢 | 松田陣平 | 萩原研二 | オリ主 | 松田夢 | 続きはどこですか | コナン夢小説1000users入り,松田阵平 | 萩原研二,松田阵平
Pixiv,11691795,死に損ない,2019-09-18T22:43:36+09:00,595,て,https://www.pixiv.net/novel/show.php?id=11691795,伊達渉 | 諸伏景光 | 萩原研二 | 松田陣平 | 風見裕也 | 降谷零 | 警察学校組 | 名探偵コナン | 伊達航,诸伏景光 | 萩原研二 | 松田阵平 | 降谷零 | 伊达航,诸伏景光
